date,calls,p_c_ratio,puts,total
2008-10-15,3053829,1.13,3459021,6512850
2008-10-16,3683501,1.15,4247994,7931495
2008-10-17,3164518,0.97,3073424,6237942
2008-10-20,2240011,0.82,1827548,4067559
2008-10-21,2168188,0.89,1921811,4089999
2008-10-22,2374234,1.21,2861190,5235424
2008-10-23,2496969,1.23,3069614,5566583
2008-10-24,2036118,1.24,2517857,4553975
2008-10-27,1634275,1.17,1915973,3550248
2008-10-28,2402217,1.01,2417058,4819275
2008-10-29,2550143,0.79,2009236,4559379
2008-10-30,2145457,0.8,1710834,3856291
2008-10-31,2053251,0.96,1962401,4015652
2008-11-03,1682443,0.96,1613489,3295932
2008-11-04,2452414,0.99,2438200,4890614
2008-11-05,2313563,0.94,2167712,4481275
2008-11-06,2077251,1.33,2766781,4844032
2008-11-07,1645592,0.94,1551563,3197155
2008-11-10,1509054,1.11,1677989,3187043
2008-11-11,1788051,1.17,2090272,3878323
2008-11-12,2191785,1.18,2581426,4773211
2008-11-13,3234382,0.99,3210271,6444653
2008-11-14,2164859,1.02,2198746,4363605
2008-11-17,2048143,0.94,1921448,3969591
2008-11-18,2435487,1.08,2638209,5073696
2008-11-19,2622615,1.39,3643142,6265757
2008-11-20,3128190,1.32,4141438,7269628
2008-11-21,3401716,1.13,3829507,7231223
2008-11-24,2796665,0.74,2061654,4858319
2008-11-25,1965543,0.78,1542855,3508398
2008-11-26,2088822,0.75,1560361,3649183
2008-11-28,821156,0.88,722114,1543270
2008-12-01,1744149,1,1741802,3485951
2008-12-02,1737031,0.94,1627537,3364568
2008-12-03,1750628,1.04,1813424,3564052
2008-12-04,1806699,0.94,1696860,3503559
2008-12-05,2090858,0.92,1921369,4012227
2008-12-08,2542305,0.86,2186071,4728376
2008-12-09,2152184,0.84,1812736,3964920
2008-12-10,1917544,0.94,1808582,3726126
2008-12-11,2154813,0.98,2104443,4259256
2008-12-12,1796308,1.04,1867422,3663730
2008-12-15,1531844,1.05,1615439,3147283
2008-12-16,2553427,0.9,2304907,4858334
2008-12-17,2504374,0.84,2099560,4603934
2008-12-18,2343023,0.9,2098233,4441256
2008-12-19,2136833,0.82,1747635,3884468
2008-12-22,1400304,0.82,1142571,2542875
2008-12-23,1286756,0.71,910499,2197255
2008-12-24,443244,0.81,358654,801898
2008-12-26,616089,0.79,487505,1103594
2008-12-29,1141997,0.94,1070815,2212812
2008-12-30,1228168,0.82,1011724,2239892
2008-12-31,1390116,0.8,1117527,2507643
2009-01-02,1668784,0.94,1576585,3245369
2009-01-05,2003815,0.83,1666002,3669817
2009-01-06,2399854,0.8,1930082,4329936
2009-01-07,1826112,1.13,2067317,3893429
2009-01-08,1683364,1.07,1806532,3489896
2009-01-09,1824514,1.03,1882082,3706596
2009-01-12,1944020,1.16,2262880,4206900
2009-01-13,2279475,0.9,2052421,4331896
2009-01-14,2468599,1.13,2780230,5248829
2009-01-15,3068625,1.18,3610729,6679354
2009-01-16,2720650,0.96,2609065,5329715
2009-01-20,2435819,0.96,2348029,4783848
2009-01-21,2266169,0.93,2110196,4376365
2009-01-22,2201974,0.87,1914993,4116967
2009-01-23,2331321,0.77,1797098,4128419
2009-01-26,1944354,0.78,1513514,3457868
2009-01-27,1710354,0.78,1333508,3043862
2009-01-28,2560899,0.75,1925713,4486612
2009-01-29,1757671,0.96,1684606,3442277
2009-01-30,1772301,1.02,1804114,3576415
2009-02-02,1817648,0.81,1481186,3298834
2009-02-03,2018047,0.81,1635742,3653789
2009-02-04,1994103,0.89,1783014,3777117
2009-02-05,2454024,0.75,1831686,4285710
2009-02-06,2852962,0.71,2030351,4883313
2009-02-09,2125455,0.66,1405640,3531095
2009-02-10,2533351,0.88,2233808,4767159
2009-02-11,1789945,0.92,1650629,3440574
2009-02-12,2160130,0.9,1949976,4110106
2009-02-13,1685252,0.89,1497172,3182424
2009-02-17,2301541,1.03,2381292,4682833
2009-02-18,2241154,1.18,2647688,4888842
2009-02-19,2357336,1.14,2694873,5052209
2009-02-20,3266028,1.07,3479655,6745683
2009-02-23,2272600,0.95,2158643,4431243
2009-02-24,2391588,0.78,1877153,4268741
2009-02-25,2161738,0.85,1830474,3992212
2009-02-26,2068113,0.69,1428350,3496463
2009-02-27,2118425,0.97,2063477,4181902
2009-03-02,2509720,1.07,2682963,5192683
2009-03-03,2248283,0.95,2143416,4391699
2009-03-04,2497924,0.96,2394782,4892706
2009-03-05,2599736,1.02,2642986,5242722
2009-03-06,2728019,0.88,2391141,5119160
2009-03-09,2450255,0.73,1799334,4249589
2009-03-10,3067719,0.72,2214995,5282714
2009-03-11,2543301,0.75,1913988,4457289
2009-03-12,3150472,0.7,2219142,5369614
2009-03-13,2526750,0.71,1802179,4328929
2009-03-16,3162756,0.79,2502114,5664870
2009-03-17,3077187,0.78,2414592,5491779
2009-03-18,4501059,0.64,2899316,7400375
2009-03-19,3718130,0.77,2861375,6579505
2009-03-20,3062168,0.9,2763966,5826134
2009-03-23,3384769,0.7,2380030,5764799
2009-03-24,2487713,0.76,1886945,4374658
2009-03-25,2319595,0.85,1982077,4301672
2009-03-26,2229918,0.91,2039579,4269497
2009-03-27,1698678,0.91,1552179,3250857
2009-03-30,1878329,1.12,2101833,3980162
2009-03-31,1902548,0.82,1554798,3457346
